Boston University,CS1231,Discrete Structures,4,MET CS 248,Discrete Mathematics,3
Boston University,CS2030,Programming Methodology II,4,MET CS 232,Programming with Java,3
Boston University,IS3103,Information Systems Leadership,4,MET CS 382,Information Systems for Management,3
Boston University,IFS4102,Digital Forensics,4,MET CS 693,Digital Forensics and Investigations,3
Boston University,CS3103,Computer Networks Practice,4,MET CS 535,Computer Networks,3
Boston University,CS4248,Natural Language Processing,4,CAS CS 505,Introduction to Natural Language Processing,4
Boston University,BT4240,Machine Learning for Predictiv,4,AD571,Business Analytics Foundations,4
Boston University,BT3103,Application Systems Developmen,4,CS412,Full Stack Application Design and Development,4
Boston University,IT1001,Introduction to Computing,4,CS103,Introduction to Internet Technologies and Web Programming,3
Boston University,CS4225,Big Data Systems for Data Science,4,CAS CS 504,Data Mechanics,4
Boston University,CS4218,Software Testing,4,MET CS 633,"Software Quality, Testing and Security Management",4
Boston University,BT4013,Analytics for Capital Market T,4,MET AD 685,Quantitative Methods for Finance,4
Boston University,BT4013,Analytics for Capital Market T,4,MET AD 717,Investment Analysis and Portfolio Management,4
Boston University,CS4236,Cryptography Theory & Practice,4,CAS CS538,Fundamentals of Cryptography,4
Boston University,CS1010S,Programming Methodology,4,CS201,INTRODUCTION TO PROGRAMMING WITH PYTHON,3
Boston University,CS4212,Compiler Design,4,CAS CS525,Compiler Design Theory,4
Boston University,CS1231,Discrete Structures,4,CAS CS131,Combinatoric Structures,4
Boston University,CS2106,Intro to Operating Systems,4,METCS575,Operating Systems,4
Boston University,BT4222,Mining Web Data for Business I,4,MET CS688,Web Analytics and Mining,4
Boston University,BT3102,Computational Methods for Busi,4,CAS MA 589,Computational Statistics,4
Boston University,CS2103,Software Engineering,4,CS473,Introduction to Software Engineering,4
Boston University,CS2100,Computer Organisation,4,CS472,Computer Architecture,4
Boston University,CS2102,Database Systems,4,CS469,Introduction to Database Design and Implementation for Business,4
Boston University,CS3244,Machine Learning,4,ENG EC 414,Introduction to Machine Learning,3
Boston University,CS2104,Programming Language Concepts,4,CAS CS 320,Concepts of Programming Languages,4
Boston University,CS3223,Database Systems Implementation,4,MET CS 779,Advanced Database Management,3
Boston University,CS3243,Introduction to Artificial Intelligence,4,MET CS 664,Artificial Intelligence,3
Boston University,CS2040,Data Structures and Algorithms,4,Cs112,Introduction to Computer Science 2,3
Boston University,BT3103,Application Systems Developmen,4,MET CS579,Database Management,3
Boston University,BT3103,Application Systems Developmen,4,CS469,Introduction to Database Design and Implementation for Business,3
Boston University,CS3236,Introduction to Information Theory,4,ENG EC 517,Introduction to Information Theory,4
Boston University,IE4240,Project Management,4,METAD642,Project Management,4
Boston University,MT4002,Technology Management Strategy,4,SMGSI480,The Business Technology Innovation,1
