EX4873,Exchange UEM
EX4874,Unrestricted Elective Outside
EX4875,Unrestricted Elective Outside
EX4876,Exchange UEM
EX4878,Exchange UEM
EX4881,Exchange UEM 2
EX4882,Exchange UEM 3
EX4883,Exchange UEM 4
EX4884,Exchange UEM 5
EX4885,Exchange UEM 6
EX4886,Exchange UEM 7
EX4888,Exchange UEM
EX4889,Exchange UEM
EX4890,UEM Exchange Module
EX4892,Exchange UEM
EX4893,Exchange UEM
FIN2704,Finance
FIN2704X,Finance
FIN3115,International Financial Mgmt
FIN3701,Corporate Finance
FIN3702,Inv. Analysis & Portfolio Mgt
FIN3703,Financial Markets
FIN3711,International Financial Mgt
FIN3712,Options and Futures
FIN3713,Bank Management
FIN3714,Financial Risk Management
FIN3715,Risk and Insurance
FIN3716,Financial Modelling
FIN3717,Fixed Income Securities
FIN3719,Household Finance
FIN3720,Financial Statement Analysis
FIN3761B,TIF: China’s Capital Markets
FIN3761X,Topics in Finance
FIN3761Y,Topics in Finance
FIN3761Z,Topics in Finance
FIN4711,Research Methods in Finance
FIN4713,Adv Portfo Mgt: Sec. Ana.&Valn
FIN4717,Entrepreneurial Finance
FIN4718,FinTech Management
FST1991,Exchange Enrichment Level 1000
FST2108,Food Safety Assurance
FST2201,Intro to Human Nutrition
FST2991,Exchange Enrichment Module
FST3101,Food Enzymology & Fermentation
FST3103,Advanced Food Engineering
FST3105,Food Product Development and P
FST3106,Sensory and Flavour Science
FST3202,Nutrition & Disease Prevention
FST3991,Exchange Enrichment Module
FST4103,FOOD COLLOIDS & COMPONENTS SCI
FST4201,Current Topics (Food Sci&Tech)
GL1711,Global Studies Exchange Dummy
GL1741,Global Studies Exchange Dummy
GL2102,Global Political Economy
GL2103,Global Governance
GL2741,Department exchange module
GL2742,Department exchange module
GL2842,Department exchange module
GL3101,Inquiry and Method
GL3741,Department exchange module
GL3742,Department exchange module
GL3743,Department exchange module
GL3744,Department exchange module
GL3745,Department exchange module
GL3841,Department exchange module
GL3842,Department exchange module
GL4751,Department exchange module
GL4752,Department exchange module
GL4880A,"Globalization, Culture, and Id"
GL4881A,"Colonial, Anticolonial and Pos"
GL4882A,Development and the Globalisat
GL4883A,Conflict and Natural Resources
GL4885A,International Law and World Po
GL4886,Topics in Population and Migra
GL4886A,Citizenship and the Politics
GL4887,Topics in Religion and Ethnici
GL4889,Topics in War and Security
GL4889A,International Law's Regulation
GL4889B,Debates on Human Rights
HY2207,"Strug for Mod China, 1800-1950"
HY2220,Korea in the Twentieth Century
HY2237,U.S.: Fr Settlement to S'power
HY2246,
HY2250,Intro to Southeast Asia Hist
HY2251,From the Wheel to the Web
HY2711,Department Exchange Module
IE2100,Probability Models With Applns
IE2110,Operations Research I
IE2130,Quality Engineering I
IE2140,Engineering Economy
IE2150,
IE3004,Department Exchange Module
IE3014,Department Exchange Module
IE3015,Exchange Elective
IE3101,Statistics For Engineering App
IE3105,Fundamentals of Systems Engine
IE3110,Simulation
IE3110R,Simulation
IE3112,Department Exchange Module
IE3114,Department Exchange Module
IE3120,Manufacturing Logistics
IE3250,Human Factors Engineering
IE3704,Exchange Elective
IE3714,Exchange Elective
IE3911,IE3 Technical Elective
IE3991,IE3 Technical Elective
IE3993,IE3 Technical Elective
IE3998,IE3 Technical Elective
IE3999,IE3 Technical Elective
IE4002,Department Exchange Module
IE4003,Department Exchange Module
IE4004,Department Exchange Module
IE4005,Department Exchange Module
IE4006,Department Exchange Module
IE4010,Exchange Elective
IE4012,Department Exchange Module
IE4013,Department Exchange Module
IE4014,Department Exchange Module
